name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
Cafe Mist,Yes,No,3.8/5,187,"+91 9742407147
+91 9538519419",JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500
Cafe Potpourri,Yes,No,3.7/5,132,"+91 8884553680
+91 7026274274",JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400
Kullad Cafe,Yes,No,3.9/5,331,"+91 8861570148
+91 9972089231",BTM,Cafe,"Tea, Paratha, Poha, Coffee, Chai, Sandwiches, Maggi","North Indian, Cafe, Fast Food, Beverages",200
99 Pancakes,Yes,No,4.5/5,339,080 43729195,Koramangala 5th Block,"Dessert Parlor, Cafe","Pan Cake, Waffles, Nutella Pancakes","Desserts, Cafe",300
Smacznego,Yes,No,4.2/5,505,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550
Onesta,Yes,Yes,4.6/5,2604,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600
Grazers,Yes,Yes,3.9/5,295,080 26650668,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650
Tummy Fuel,Yes,No,4.2/5,450,"+91 9008558558
+91 9845792610",Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400
WTF,Yes,No,4.1/5,93,080 43758178,Koramangala 5th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental",600
Tata Cha,Yes,No,3.7/5,31,18001208242,Koramangala 7th Block,Cafe,,"Cafe, Tea, North Indian",500
Smally's Resto Cafe,Yes,Yes,4.2/5,1700,"+91 7406772442
+91 7406772332",Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650
Slate Cafe,Yes,No,4.1/5,55,+91 8040923832,JP Nagar,Cafe,"Pasta, Sandwiches, Pizza","Cafe, Sandwich, Burger",600
Stoner,Yes,No,4.5/5,2608,"080 41253030
+91 9849012123",Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500
Nuts Over Salads Cafe,Yes,Yes,4.4/5,201,"080 25533344
+91 7019629831",Koramangala 5th Block,Cafe,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Brownie","Cafe, Salad",800
Roundup Cafe,Yes,Yes,4.2/5,488,080 49653438,Koramangala 5th Block,Cafe,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Hot Chocolate, Pasta","Cafe, Continental, Beverages",800
Fresh Pressery Cafe,Yes,No,4.1/5,137,080 41724989,Koramangala 5th Block,Cafe,"Salads, Chicken Sandwich, Brownie, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast","Cafe, Healthy Food, Salad, Beverages, Desserts","1,200"
Pancuzzi,Yes,No,4.2/5,171,+91 9742737794,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600
Chai Galli,Yes,No,4.3/5,480,"+91 9108422723
080 5532224",Koramangala 5th Block,Cafe,"Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie","Cafe, Tea, Street Food",450
Go Native,Yes,Yes,4.3/5,1265,080 49653539,Jayanagar,"Casual Dining, Cafe","Mushroom Soup, Salads, Halwa, Thali, Salad, Millet Pizza, Misal Pav","Healthy Food, Cafe, Beverages",800
Blue Tokai Coffee Roasters,Yes,No,NEW,0,+91 9319970404,Koramangala 8th Block,Cafe,"Coffee, Potato Wedges","Cafe, Coffee",400
Rooftop Cafe,Yes,No,4.1/5,799,"080 26544411
+91 8050712836",Jayanagar,Cafe,"Pizza, Nachos, Rolls, Veggie Roll, Sandwiches, Burgers, Mango Shake","Cafe, Fast Food, Beverages",400
San Churro Cafe,Yes,No,3.8/5,924,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pizza, Pink Sauce Pasta, Salsa","Cafe, Mexican, Italian",800
Steaming Mugs,Yes,No,4.0/5,241,"+91 9341234538
+91 9886414790",Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700
Bakers Town,Yes,No,3.6/5,41,+91 7411103666,BTM,Cafe,"Fries, Pasta, Chicken Burger, Sandwich, Burgers, Monster Burger","Cafe, Continental, Fast Food",600
Bun Town,Yes,No,4.0/5,204,080 26686499,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Brownie, Donut","Cafe, Bakery",500
Cafe Coffee Day,Yes,No,3.1/5,25,"+91 9343712974
+91 9071381445",Banashankari,Cafe,,"Cafe, Fast Food",900
Penthouse Cafe,Yes,No,4.0/5,328,"+91 8884135549
+91 9449449316",Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700
YORK St.,Yes,No,4.4/5,944,+91 7624945998,Koramangala 5th Block,Cafe,"Beef Steak, Custard, Burgers, Beef Stroganoff, Salad, Sandwich, Sandwiches","Cafe, European, Continental",900
Cafe Shuffle,Yes,Yes,4.2/5,153,+91 9742166777,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600
Cafe Graffiters,Yes,No,3.8/5,22,+91 9074629989,Koramangala 5th Block,Cafe,,"Cafe, Continental, Beverages",600
Cross Road Cafe,Yes,No,3.9/5,91,080 41247022,Jayanagar,Cafe,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300
Biggies Burger 'n' More,Yes,No,3.8/5,208,"+91 8041103328
+91 9986123444",BTM,"Cafe, Quick Bites","Burgers, Fries, Hot Dog, Chicken Hotdog, Cuban Mojito, Cheese Burger, Grilled Burger","Cafe, Burger, Fast Food",400
Little Cafe,Yes,No,3.7/5,54,+91 9741248269,Basavanagudi,Cafe,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread","Cafe, Beverages",600
Trippy Paradise,Yes,No,2.6/5,60,"+91 9886525634
+91 7406615506",BTM,Cafe,,Cafe,900
Cafe Ajfan,Yes,No,4.2/5,265,"+91 7022022107
+91 9606791771",Jayanagar,Cafe,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Fries, Calzone","Cafe, Continental, Beverages",700
Mudpipe Cafe,Yes,Yes,4.5/5,1878,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900
Enerjuvate Studio & Cafe,No,Yes,4.2/5,738,"080 41462929
+91 8598866594",Jayanagar,Cafe,"Pizza, Vegetarian, Momo Platter, Momos, Nachos, Salsa, Salad","Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800
On The Nose,Yes,No,3.8/5,614,"080 42008978
+91 9886625960",BTM,Cafe,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese",600
Woodee Pizza,Yes,No,2.7/5,85,+91 7406827272,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500
Cafe Cosy,No,Yes,4.1/5,114,080 49653354,Jayanagar,Cafe,"Pasta, Pizza, Mocktails, Jalapeno Poppers","Cafe, Chinese, Continental, Fast Food",800
Kirthi's Biryani,Yes,No,3.8/5,145,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
Cafe Mondo,Yes,No,3.7/5,514,080 42088686,Basavanagudi,Cafe,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge","Cafe, Italian, Beverages",600
Crafted Plate,Yes,Yes,4.2/5,239,"080 43023198
+91 8050088287",JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600
Ruh's Cafe,Yes,No,4.1/5,464,"+91 9986271611
+91 9844803695",BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500
Brew Point,Yes,No,3.6/5,10,+91 9741010084,JP Nagar,Cafe,,"Cafe, American, Burger, Sandwich, Fast Food",500
Hang10 Resto N Cafe,Yes,No,3.8/5,100,"+91 7353222277
+91 7353444477",BTM,Cafe,"Burgers, Chicken Grill, Faluda, French Fries, Sandwich","Cafe, North Indian, Chinese",700
Mr. Beans - Home Cafe,Yes,Yes,4.2/5,2710,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mug N Bean,Yes,No,3.9/5,247,+91 9035203926,Jayanagar,Cafe,"Maggi, Pasta, Burgers, Grilled Sandwich, Latte, French Fries","Cafe, Continental, Italian, Burger",400
Cafe Medley,Yes,No,4.2/5,1061,"+91 8041160865
+91 9845141475",Koramangala 5th Block,Cafe,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza","Cafe, Continental, Burger",800
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,+91 9880594520,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400
Black Cup Cafe,Yes,No,3.7/5,29,+91 9972567777,BTM,Cafe,,"Cafe, Fast Food, Beverages",400
Chillout,Yes,No,,0,+91 7012057119,BTM,Cafe,,"Burger, Cafe, Pizza, Fast Food",200
The Airos,Yes,No,4.1/5,130,+91 7026390001,Jayanagar,Cafe,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls","Cafe, Italian, Pizza",650
Cafe D'hide,Yes,Yes,4.2/5,869,+91 7204196666,Koramangala 5th Block,Cafe,"Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads","Cafe, American, Continental, Italian",600
Cafe Vivacity,Yes,No,3.8/5,90,"080 26768182
+91 9845704455",Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650
Java City,Yes,No,2.5/5,157,080 41654693,Jayanagar,Cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450
Coffee Tindi,Yes,No,3.8/5,75,+91 9945758046,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200
Bistro Oui,Yes,Yes,4.1/5,401,"+91 9535007412
+91 9972815434",Koramangala 5th Block,"Cafe, Bar","Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","Cafe, Continental, Salad, Steak","1,200"
PHEW (Play Hard Eat Wild),Yes,Yes,3.9/5,488,+91 9365075799,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700
TRIGEREATO,Yes,Yes,4.4/5,100,"+91 9620840390
+91 7022098881",Koramangala 8th Block,Cafe,"Pasta, Salad, Noodles, Mousse, Fries, Mocktails, Pizza","Cafe, Continental, Beverages",700
Eatery Have U Been,Yes,No,3.4/5,35,+91 9743524748,BTM,"Cafe, Quick Bites",,"Cafe, Chinese, Fast Food, Burger, North Indian",500
The Blue Wagon - Kitchen,Yes,No,4.6/5,233,"+91 8105485007
+91 8095904280",Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Cottage Cheese Sandwich, Bruschetta Bites","Cafe, Beverages",400
Lot Like Crepes,Yes,No,4.6/5,1024,"+91 9742293475
080 65650566",Koramangala 7th Block,"Cafe, Dessert Parlor","Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental",550
D View Cafe,Yes,No,4.0/5,510,+91 9538943596,JP Nagar,"Cafe, Quick Bites","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","1,000"
Cafe Aira,Yes,No,4.1/5,216,"+91 9980570955
080 41121975",Basavanagudi,Cafe,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles","Cafe, Continental, Beverages, Desserts",500
A Hole Lotta Love Cafe,Yes,No,4.4/5,2862,"080 25522562
+91 9611031867",Koramangala 5th Block,Cafe,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta","Cafe, American, Burger, Sandwich, Beverages",600
Cafe Terra,Yes,No,NEW,0,+91 8042111103,Jayanagar,Cafe,,"Cafe, Continental",700
Krazzy Folds,Yes,Yes,4.3/5,1908,080 49652953,Jayanagar,Cafe,"Pasta, Tacos, Macaroni, Panna Cotta, Salads, Spaghetti, Churros","Cafe, Continental, Sandwich, Beverages",800
4th Tea Block,No,No,4.0/5,62,"+91 9844033353
+91 6361276770",Jayanagar,Cafe,"Rose Tea, Hibiscus Tea, Masala Chai, Ginger Tea",Cafe,150
Cafe 221B,Yes,Yes,3.7/5,49,"+91 7899022907
+91 9895765188",BTM,Cafe,,"Cafe, Beverages",300
Cuppa,No,No,3.2/5,59,"080 26564445
+91 9986833382",Jayanagar,"Cafe, Casual Dining","Coffee, Sandwich","Cafe, Fast Food",550
The Vacationer's Cafe,Yes,No,4.1/5,306,"+91 9663420209
080 43705539",Koramangala 7th Block,Cafe,"Nachos, Fries, Pasta, Sizzler Brownie, Masala Chai, Pizza, Burgers","Cafe, Continental, Mexican",600
1980s Games Cafe,Yes,No,3.4/5,58,080 41677077,Basavanagudi,Cafe,"Maggi, Pasta, Burgers, Sandwiches, Fries","Cafe, Fast Food",400
Rustic Treats,No,No,3.3/5,4,+91 9946666099,Jayanagar,"Quick Bites, Cafe",,"Street Food, Cafe",400
Brewz Coffee,Yes,No,3.0/5,61,080 41200232,BTM,Cafe,"Coffee, Sandwiches, Cappuccino",Cafe,650
Cafemoto,Yes,No,4.0/5,201,"+91 6360827051
+91 8129229603",Koramangala 5th Block,Cafe,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta","Cafe, Continental, Italian, Burger",800
Restro Cafe,Yes,No,3.8/5,30,"+91 9740206609
+91 9611828970",Jayanagar,Cafe,,Cafe,400
Bun Town,Yes,No,3.8/5,22,00 08043753499,Koramangala 5th Block,Cafe,,"Cafe, Bakery",500
Brews N Bites,Yes,No,2.9/5,62,"+91 9886791151
+91 9886439454",Jayanagar,"Quick Bites, Cafe","Coffee, Cappuccino","Chinese, Fast Food, Cafe",650
Redberrys,Yes,No,4.0/5,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600
Billionaires Cafe,No,No,3.8/5,47,+91 9845553555,Koramangala 5th Block,Cafe,Friendly Staff,"Cafe, Italian",600
Dice N Dine,Yes,Yes,4.3/5,1805,"080 41302255
+91 8105273207",Koramangala 5th Block,"Casual Dining, Cafe","Lasagne, Tiramisu, Virgin Mojito, Chicken Popcorn, Mocktails, Club Chicken Sandwich, Nachos","Continental, Cafe, Italian, Fast Food, Steak",900
Maxpresso,Yes,No,4.1/5,323,"080 48902064
+91 9620723546",Koramangala 7th Block,Cafe,"Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami","Cafe, American, Italian, Beverages",700
Cafe Fattoush,Yes,No,3.8/5,24,+91 8880786996,BTM,Cafe,,"Cafe, Lebanese",700
The Cravery,Yes,No,2.6/5,18,+91 8042008011,JP Nagar,Cafe,,Cafe,500
Breaktime Brew,Yes,No,3.7/5,24,+91 9742347103,Koramangala 7th Block,Cafe,,Cafe,550
Dr. Sheesha,No,Yes,4.1/5,1453,080 49653341,JP Nagar,Cafe,"Mocktails, Pizza, Pasta Alfredo, Burgers, Nachos, Exotic Garlic Bread, Milk Shake","Cafe, Chinese, Continental, Italian",800
Cafe Arabica,No,No,3.8/5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700
Wellness Cafe,No,No,,0,+91 9900459444,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400
Smack Cafe,No,No,,0,+91 9663076096,Koramangala 1st Block,Cafe,,Cafe,400
Hearts Unlock Cafe,No,No,3.2/5,11,"+91 9008143437
+91 7259710298",BTM,Cafe,,"Cafe, Healthy Food",500
Cafe Hush,No,No,3.6/5,22,+91 9113838818,BTM,Cafe,,"Cafe, Fast Food",500
The 90s Hash House,No,No,3.8/5,63,"080 75961114
+91 9900873434",BTM,Cafe,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",Cafe,500
La Passion Cafe,Yes,No,,0,+91 8217706039,BTM,Cafe,,Cafe,500
La Passion Cafe,Yes,No,,0,+91 8217706039,BTM,Cafe,,Cafe,500
Insta Cafe,Yes,No,2.9/5,7,"080 43025801
+91 9148121314",BTM,Cafe,,"Cafe, Continental, Pizza, Italian, Beverages",400
Tea Villa Cafe,No,Yes,4.2/5,657,080 49653143,Jayanagar,"Cafe, Casual Dining","Tea, Waffles, Coffee, Nutella Waffle, Wedges, Pizza, Pasta","Cafe, Continental, Mediterranean, Italian, Desserts",800
The Caramelts Cafe,No,No,4.1/5,227,080 26544799,Jayanagar,Cafe,"Burgers, Coffee, Pasta, Peri Peri Fries, Kit Kat Shake, Nachos, Paneer Tikka Pizza","Cafe, Salad, Wraps, Beverages",800
Starbucks,No,No,4.1/5,109,,Jayanagar,Cafe,Coffee,"Cafe, Desserts",700
The Studio Cafe,No,No,3.8/5,20,+91 7349525913,Jayanagar,Cafe,,"Cafe, Beverages",400
Tummy Fuel,Yes,No,4.2/5,450,"+91 9008558558
+91 9845792610",Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400
Cafe Coffee Day,No,No,3.5/5,7,+91 9379467259,Jayanagar,Cafe,,"Cafe, Fast Food",900
Slate Cafe,Yes,No,4.1/5,55,+91 8040923832,JP Nagar,Cafe,"Pasta, Sandwiches, Pizza","Cafe, Sandwich, Burger",600
Crafted Plate,Yes,Yes,4.2/5,239,"080 43023198
+91 8050088287",JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600
Pancuzzi,Yes,No,4.2/5,171,+91 9742737794,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600
TAB - Take A Break,No,No,4.1/5,523,"+91 9535133088
+91 9448157110",JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550
Kirthi's Biryani,Yes,No,3.8/5,145,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
Bun Town,Yes,No,4.0/5,204,080 26686499,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Brownie, Donut","Cafe, Bakery",500
Cafe Arabica,No,No,3.8/5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700
Smack Cafe,No,No,,0,+91 9663076096,Koramangala 1st Block,Cafe,,Cafe,400
"Malnad Blossom, Coffee & Cream",No,No,3.8/5,33,+91 9019536123,JP Nagar,Cafe,,Cafe,300
Shivaay's Cafe,No,No,NEW,0,+91 8971302420,Wilson Garden,"Cafe, Dessert Parlor",,"Cafe, Desserts, Fast Food",400
Go Native,Yes,Yes,4.3 /5,1268,080 49653539,Jayanagar,"Casual Dining, Cafe","Mushroom Soup, Salads, Halwa, Thali, Salad, Millet Pizza, Misal Pav","Healthy Food, Cafe, Beverages",800
Alchemy Coffee Roasters,No,No,4.2 /5,714,+91 8762473937,Jayanagar,Cafe,"Coffee, Fries, Sandwich, Pizza, Pancakes, Pasta, Hot Chocolate",Cafe,500
Rooftop Cafe,Yes,No,4.1 /5,803,"080 26544411
+91 8050712836",Jayanagar,Cafe,"Pizza, Nachos, Rolls, Veggie Roll, Sandwiches, Burgers, Mango Shake","Cafe, Fast Food, Beverages",400
Fabcafe,No,Yes,3.8 /5,11,+91 8050403072,Jayanagar,Cafe,,"Cafe, Healthy Food",800
Enerjuvate Studio & Cafe,Yes,Yes,4.2 /5,743,"080 41462929
+91 8598866594",Jayanagar,Cafe,"Pizza, Vegetarian, Nachos, Momo Platter, Momos, Salsa, Salad","Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800
The Caramelts Cafe,No,No,4.1 /5,227,080 26544799,Jayanagar,Cafe,"Burgers, Coffee, Pasta, Peri Peri Fries, Kit Kat Shake, Nachos, Paneer Tikka Pizza","Cafe, Salad, Wraps, Beverages",800
Cafe Cosy,No,Yes,4.2 /5,117,080 49653354,Jayanagar,Cafe,"Pasta, Pizza, Mocktails, Jalapeno Poppers","Cafe, Chinese, Continental, Fast Food",800
SlimSins Cafe,No,No,4.1 /5,715,+91 9535582766,Jayanagar,Cafe,"Hummus Platter, Juicy Lamb Burger, Salmon Steak, Mousse, Pasta, Pizza, Sweet Potato Fries","Cafe, Healthy Food",850
Cafe Ajfan,Yes,No,4.2 /5,268,"+91 7022022107
+91 9606791771",Jayanagar,Cafe,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Calzone, Fries","Cafe, Continental, Beverages",700
Krazzy Folds,Yes,Yes,4.2 /5,1919,080 49652953,Jayanagar,Cafe,"Pasta, Tacos, Macaroni, Panna Cotta, Salads, Spaghetti, Churros","Cafe, Continental, Sandwich, Beverages",800
The Blue Wagon - Kitchen,Yes,No,4.6 /5,256,"+91 8105485007
+91 8095904280",Jayanagar,Cafe,"Pizza, Cup Cake, Nachos, Burgers, Garlic Maggi, Cheese Maggi, Sandwich","Cafe, Beverages",400
The Airos,Yes,No,,131,+91 7026390001,Jayanagar,Cafe,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls","Cafe, Italian, Pizza",650
Starbucks,No,No,4.1 /5,110,,Jayanagar,Cafe,Coffee,"Cafe, Desserts",700
Willys Top Cafe,Yes,No,4.0 /5,310,"+91 7795808555
00 09176703991",Jayanagar,Cafe,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries","Cafe, Continental, Asian",750
Restro Cafe,Yes,No,3.8 /5,30,+91 9611828970,Jayanagar,Cafe,,Cafe,400
Cafe Terra,Yes,No,,0,+91 8042111103,Jayanagar,Cafe,,"Cafe, Continental",700
La Grande Cafe,No,No,3.8 /5,46,+91 9845525205,Jayanagar,Cafe,"Coffee, Hot Chocolate, Cappuccino, Ice Tea, Corn Balls",Cafe,400
Cross Road Cafe,Yes,No,3.9 /5,91,080 41247022,Jayanagar,Cafe,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300
Tummy Fuel,Yes,No,4.1 /5,450,"+91 9008558558
+91 9845792610",Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400
Grazers,Yes,Yes,3.9 /5,297,080 26650668,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650
Mug N Bean,Yes,No,3.9 /5,247,+91 9035203926,Jayanagar,Cafe,"Maggi, Pasta, Burgers, Grilled Sandwich, Latte, French Fries","Cafe, Continental, Italian, Burger",400
Brew Bakes,No,No,3.4 /5,13,+91 8897633146,Jayanagar,Cafe,,"Cafe, Continental, Italian",550
Java City,Yes,No,2.5 /5,157,080 41654693,Jayanagar,Cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450
Cafe Coffee Day,No,No,3.5 /5,20,080 64540066,Jayanagar,Cafe,,"Cafe, Fast Food",900
People Tree Cafe,No,No,,167,+91 9886086452,Jayanagar,Cafe,"Chocolate Shake, Nachos, Babycorn Manchurian, Cheese Maggi, French Fries, Tea, Oreo Shake","Cafe, Fast Food, Beverages",400
Brews N Bites,Yes,No,3.0 /5,62,"+91 9886791151
+91 9886439454",Jayanagar,"Quick Bites, Cafe","Coffee, Cappuccino","Chinese, Fast Food, Cafe",650
Rustic Treats,No,No,,4,+91 9946666099,Jayanagar,"Quick Bites, Cafe",,"Street Food, Cafe",400
Dr. Sheesha,No,Yes,4.2 /5,1466,080 49653341,JP Nagar,Cafe,"Mocktails, Pizza, Pasta Alfredo, Burgers, Nachos, Exotic Garlic Bread, Momos","Cafe, Chinese, Continental, Italian",800
Skyline Pizzeria,No,No,4.0 /5,769,"+91 7795015404
+91 8197544572",JP Nagar,"Cafe, Bakery","Pizza, Pasta, Mocktails, Pink Lemonade, Sandwiches, Mojito, Nachos","Cafe, Bakery, Italian",600
Cafe Shuffle,Yes,Yes,,155,+91 9742166777,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600
D View Cafe,Yes,No,4.0 /5,509,+91 9538943596,JP Nagar,"Cafe, Quick Bites","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","1,000"
Crafted Plate,Yes,Yes,4.2 /5,240,"080 43023198
+91 8050088287",JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600
Ruh's Cafe,Yes,No,4.1 /5,465,"+91 9986271611
+91 9844803695",BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500
